Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
Lawhive,https://www.crunchbase.com/organization/lawhive,Growing,,Lawhive was founded to make the law accessible to everyone.,,"Artificial Intelligence (AI), Legal Tech, Marketplace","London, England, United Kingdom",Lawhive is on a mission to make legal help accessible to everyone.,"8,227",2019-01-01,year,,"Flinn Dolman, Jaime van Oers, Pierre Proner",Private,"8,460",,2024-04-15,3,Seed,12000000,USD,12000000,Seed,14200000,USD,14200000,12000000,USD,12000000,Seed,14200000,USD,14200000,"Google Ventures, Tiny VC, Episode 1, Alex Macdonald, Dtec Ventures",8,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Professional Services, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://lawhive.co.uk,https://www.linkedin.com/company/joinlawhive,,11-50
Gilion,https://www.crunchbase.com/organization/gilion,Growing,31114,"Gilion is a precision financing company that provides founders with a growth and funding platform to access growth loans. It utilizes artificial intelligence and machine learning to help enterprises grow smart through long-term loans - maintaining control for founders and reducing risk for investors. It helps businesses analyze the company's business health and design custom, dynamic loans with fair terms.",,"Analytics, Artificial Intelligence (AI), FinTech, Funding Platform, Machine Learning","Stockholm, Stockholms Lan, Sweden",Accelerating founders. We help entrepreneurs achieve big things in short spaces of time through growth funding and analytics.,"8,260",2021-01-01,year,6,"Axel Bruzelius, Henrik Landgren, Oliver Hildebrandt",Private,"8,484",,2024-04-10,5,Seed,10000000,EUR,10741139,Seed,340500000,EUR,375997361,10000000,EUR,10741139,Seed,40500000,EUR,43251509,"LocalGlobe, Creandum, Ilkka Paananen, Sebastian Knutsson, Alliance VC",17,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software",Debt,"European Union (EU), Nordic Countries, Scandinavia",https://www.gilion.com/,https://www.linkedin.com/company/gilionofficial,hello@gilion.com,51-100
Bitmagic,https://www.crunchbase.com/organization/roleverse,,,"Bitmagic creates a game concept, and it builds a background story and creates an immersive 3D world.",,,"Helsinki, Southern Finland, Finland","Bitmagic creates a game concept, builds a background story and creates an immersive 3D world","8,261",2021-01-01,year,,,Private,"8,485",,2024-07-02,1,Seed,4000000,EUR,4288211,Seed,4000000,EUR,4288211,4000000,EUR,4288211,Seed,4000000,EUR,4288211,"Supercell, Korea Investment Partners, Sisu Game Ventures, Maarten de Koning",4,,,"European Union (EU), Nordic Countries, Scandinavia",https://bitmagic.games,https://www.linkedin.com/company/bitmagicgames,,1-10
Wondercraft,https://www.crunchbase.com/organization/wondercraft,Growing,,"Wondercraft enables users to generate podcasts using text-to-speech technology. It specializes in turning blog posts, articles, and essays into audio content. The company empowers users to enhance a variety of creative projects with professional audio. Transform blogs into podcasts, articles into audiobooks, and advertising copy into dynamic marketing campaigns using our templates. Wondercraft tools provide custom AI script assistants, professional music, video generation, and ultra-realistic AI voices for creating high-quality listening experiences. No need for a studio, mics, mixing equipment, or editing software – achieve studio-quality audio in minutes at a fraction of the traditional cost.",,"Artificial Intelligence (AI), Content, Podcast, SaaS","London, England, United Kingdom",AI-powered creative audio studio for brands & creative teams.,"8,279",2022-01-01,year,,"Dimitris Nikolaou, Oskar Serrander, Youssef Rizk",Private,"8,503",,2024-01-29,2,Seed,2360000,GBP,3000502,Seed,3500502,USD,3500502,2360000,GBP,3000502,Seed,3500502,USD,3500502,"Y Combinator, ElevenLabs, Will Ventures, Steven Bartlett",4,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.wondercraft.ai,https://www.linkedin.com/company/wondercraft-ai,team@wondercraft.ai,1-10
Nuuron,https://www.crunchbase.com/organization/nuuron,,,"Nuuron is a neurotech startup that is developing the Memory-Pacemaker, a non-invasive photonic neurostimulation device that allows Alzheimer's sufferers to store and retrieve memories anew.",,Biotechnology,"Berlin, Berlin, Germany",Nuuron is a neurotech startup.,"8,302",2023-01-01,year,,,Private,"8,536",,2024-10-31,1,Seed,3500000,EUR,3799730,Seed,3500000,EUR,3799730,3500000,EUR,3799730,Seed,3500000,EUR,3799730,"HTGF | High-Tech Gruenderfonds, IBB Ventures, Caesar Ventures, Business Angels Club Berlin-Brandenburg e.V.",4,"Biotechnology, Science and Engineering",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.nuuron.com/,https://www.linkedin.com/company/nuuron/about/,,1-10
Fin,https://www.crunchbase.com/organization/fin-f67e,,NW10 6ST,"Fin is a transportation company that provides zero-emission, sustainable parcel delivery, and logistics services for e-commerce brands. Its deliveries and warehousing services serve e-commerce, retail, and logistics industries.",,"Courier Service, Delivery Service, Logistics, Supply Chain Management, Sustainability","London, England, United Kingdom","Fin is a transportation company that provides zero-emission, sustainable parcel delivery, and logistics services for e-commerce brands.","8,458",2022-01-01,year,,,Private,"8,685",,2024-10-15,2,Seed,7000000,USD,7000000,Seed,22930000,USD,22930000,7000000,USD,7000000,Seed,22930000,USD,22930000,"MaC Venture Capital, Side Door Ventures, Pearls Capital, Simplex Ventures",4,"Administrative Services, Sustainability, Transportation",,"Europe, Middle East, and Africa (EMEA)",https://finmile.co/,https://www.linkedin.com/company/finlogistics/,hello@finmile.co,11-50
Concretene,https://www.crunchbase.com/organization/concretene,Growing,M1 7ED,Concretene is a concrete alternative that is designed to provide a viable CO2 reduction technology in the construction industry for cementitious products. It is developed by Nationwide Engineering Research and Development (NERD) with the Graphene Engineering Innovation Centre (GEIC).,,"Building Material, Construction","Manchester, Manchester, United Kingdom",Concretene is a concrete alternative that is designed to provide a viable CO2 reduction technology in the construction industry.,"8,660",2020-01-01,year,,,Private,"8,900",,2024-10-14,2,Seed,3000000,GBP,3916792,Seed,4259000,GBP,5437287,3000000,GBP,3916792,Seed,3000000,GBP,3916792,"Molten Ventures, Innovate UK, LocalGlobe, Engineering and Physical Sciences Research Council, Henry Royce Institute",5,Real Estate,,"Europe, Middle East, and Africa (EMEA)",https://www.concretene.co.uk,https://www.linkedin.com/company/concretene,graphene@concretene.co.uk,11-50
Flinn,https://www.crunchbase.com/organization/flinn-comply,,1020 Vienna,"Flinn Comply allows medical device manufacturers to automate quality and regulatory processes, making compliance work ten times more efficient.",,"Medical, Medical Device, Musical Instruments","Vienna, Wien, Austria",Flinn Comply allows medical device manufacturers to automate quality and regulatory processes.,"8,754",2022-01-01,year,,"Bastian Krapinger-Rüther, Hasib Samad, Markus Müller",Private,"8,990",,2024-09-30,3,Seed,6000000,EUR,6696421,Seed,9800000,EUR,10804651,6000000,EUR,6696421,Seed,7800000,EUR,8609011,"Speedinvest, Cherry Ventures, The Austrian Research Promotion Agency (FFG), SquareOne Venture Capital, Matthias Hilpert",31,"Health Care, Media and Entertainment, Music and Audio",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.flinncomply.com,https://www.linkedin.com/company/flinncomply,,1-10
Blecon,https://www.crunchbase.com/organization/blecon,,,Blecon enables physical products to communicate with cloud applications using Bluetooth Low Energy.,,"Cloud Data Services, Construction, Environmental Engineering, Location Based Services, Medical Device, Predictive Analytics, SaaS","London, England, United Kingdom","Bluetooth, meet the Cloud.","8,809",2021-03-12,day,,"Dan Ros, Donatien Garnier, Simon Ford",Private,"9,052",,2024-10-08,4,Seed,4600000,USD,4600000,Seed,4600000,USD,4600000,4600000,USD,4600000,Seed,4600000,USD,4600000,MMC Ventures,1,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Internet Services, Navigation and Mapping, Real Estate, Science and Engineering, Software, Sustainability",,"Europe, Middle East, and Africa (EMEA)",https://blecon.net,https://linkedin.com/company/blecon,contact@blecon.net,1-10
Entalpic,https://www.crunchbase.com/organization/entalpic,,,,,"Artificial Intelligence (AI), Chemical, Product Research","Paris, Ile-de-France, France",Entalpic is an AI-driven discovery platform for sustainable industries aiming to optimize carbon-intensive sectors.,"8,822",2024-01-01,year,,,Private,"9,061",,2024-09-04,1,Seed,8500000,EUR,9417917,Seed,8500000,EUR,9417917,8500000,EUR,9417917,Seed,8500000,EUR,9417917,"Michal Valko, Felicis, Cathay Innovation, Breega, Yoshua Bengio",9,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://entalpic.ai/,https://www.linkedin.com/company/entalpic/,,1-10
Cubbit,https://www.crunchbase.com/organization/cubbit,Growing,,"Cubbit is more than a cloud provider; it’s the 1st geo-distributed cloud Enabler. With just a few clicks, you can customize a hyper-resilient cloud object storage under your own sovereignty. Cubbit’s DS3 (Distributed S3) software runs anywhere - on your existing resources, in the cloud or at the edge - creating a seamless single data domain for you. No upfront investment is required, and you can reduce storage costs by up to 80% as well as minimizing your cloud carbon footprint. Ideal for traditional use cases like backup and unique to address new needs driven by Edge, Multi-cloud, and Data Sovereignty requirements. As a company or a Service Provider, with Cubbit you can get back full control on data, infrastructure, and costs. In minutes. In one claim: Your Cloud. Your Rules. Anywhere.",,"Cloud Infrastructure, Cloud Storage","Bologna, Emilia-Romagna, Italy","Your Cloud. Your Rules. Anywhere. Cubbit is the 1st geo-distributed cloud Enabler. Compose your S3 cloud in minutes, benefit for years.","9,157",2016-07-01,month,,"Alessandro Cillario, Lorenzo Posani, Marco Moschettini, Stefano Onofri",Private,"9,408",,2024-07-16,5,Seed,12500000,USD,12500000,Seed,25584667,USD,25584667,12500000,USD,12500000,Seed,16657075,USD,16657075,"Techstars, Verve Ventures, European Innovation Council, CDP Venture Capital, LocalGlobe",18,"Hardware, Internet Services",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.cubbit.io,https://www.linkedin.com/company/cubbit,finance@cubbit.io,11-50
Proxima Fusion,https://www.crunchbase.com/organization/proxima-fusion,Growing,,Proxima Fusion creates new types of power plants using stellarators that optimised to create magnetic cages for high-energy particles.,,"Energy, Power Grid","Munich, Bayern, Germany",Proxima Fusion creates new types of power plants using stellarators that optimised to create magnetic cages for high-energy particles.,"9,171",2023-01-01,year,,,Private,"9,422",,2024-07-15,6,Seed,15000000,EUR,16347348,Seed,45000000,EUR,48844480,15000000,EUR,16347348,Seed,42500000,EUR,46119922,"HTGF | High-Tech Gruenderfonds, Bayern Kapital, redalpine, UVC Partners, Visionaries Tomorrow",12,Energy,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.proximafusion.com/,,,11-50
BeyondMath,https://www.crunchbase.com/organization/beyondmath,Growing,CB1 2JH,,,Artificial Intelligence (AI),"Cambridge, Cambridgeshire, United Kingdom",AI-first approach to simulating the physical world,"9,246",2022-01-01,year,,,Private,"9,497",,2024-08-20,2,Seed,6500000,GBP,8463354,Seed,8000000,GBP,10302137,6500000,GBP,8463354,Seed,8000000,GBP,10302137,"Insight Partners, Creator Fund, InMotion Ventures, UP Partners, Exfi",5,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://beyondmath.com,,,1-10
Getmobil,https://www.crunchbase.com/organization/getmobil,Growing,34363,"Getmobil operates a smart device platform for buying and selling secondhand cellphones, laptops, and tablets. The company's platform repairs defective devices as quickly as possible, offers a wide selection of device accessories, buys used electronic devices in good condition from consumers, determines the problems by passing them through extensive tests, repairs them with an expert technical team, and resells them, allowing consumers to get a new or refurbished product at an affordable, reliable, and competitive price.",,"Procurement, Retail, Waste Management","Sisli, Istanbul, Turkey",Getmobill offers services in refurbished devices and their sale and resale.,"9,261",2018-01-01,year,,,Private,"9,512",,2024-02-13,3,Seed,4000000,USD,4000000,Seed,5473875,USD,5473875,4000000,USD,4000000,Seed,5473875,USD,5473875,"Logo Ventures, 212, DFF Ventures, Firat Isbecer, Nevzat Aydın",19,"Commerce and Shopping, Sustainability, Transportation",,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",https://getmobil.com/,https://www.linkedin.com/company/getmobil/,info@getmobil.com,101-250
Quantune,https://www.crunchbase.com/organization/quantune,,12489,Quantune is a deep tech startup in optics and photonics technology. It develops laser spectrometer for continuous and non-invasive health monitoring.,,"Electronics, Health Care, Medical Device","Berlin, Berlin, Germany",Quantune is a deep tech startup in optics and photonics technology.,"9,366",2019-01-01,year,,"Jan F. Kischkat, Nikolaus Hahne, Oliver Supplie",Private,"9,623",,2024-11-12,3,Seed,8500000,EUR,9017687,Seed,17491297,EUR,18623407,8500000,EUR,9017687,Seed,8500000,EUR,9017687,"European Innovation Council, Vsquared Ventures, Point72 Ventures, Investitionsbank Berlin",4,"Consumer Electronics, Hardware, Health Care",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://quantune.com,https://www.linkedin.com/company/quantune,privacy@quantune.com,1-10
Root Global,https://www.crunchbase.com/organization/root-global,,10969,"Root Global develops a carbon accounting and emissions management platform to help companies manage and reduce their environmental footprint by providing verified data collection and quantifiable reduction levers. With supply chain partners and set supplier targets and incentives, the platform helps food and beverage companies identify emission hotspots and improve sustainability efforts.",,"B2B, Food and Beverage, SaaS, Sustainability","Berlin, Berlin, Germany",Root Global develops carbon accounting and emissions management platforms to help companies manage and reduce their environmental footprint.,"9,423",2022-01-01,year,,"Eric Oancea, Maurice Hensl",Private,"9,683",,2024-08-19,2,Seed,8000000,EUR,8852642,Seed,10500000,EUR,11404029,8000000,EUR,8852642,Seed,10500000,EUR,11404029,"Point Nine, Project A Ventures, Mario Götze, arc investors, Nucleus Capital",14,"Food and Beverage, Other, Software, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.rootglobal.io/,https://www.linkedin.com/company/rootglobal0/,,11-50
Purpose Green,https://www.crunchbase.com/organization/purpose-green,,10623,Purpose Green operates as a climatetech company.,,"Green Building, Residential","Berlin, Berlin, Germany",Purpose Green operates as a climatetech company.,"9,667",2023-01-01,year,,,Private,"9,924",,2024-10-07,2,Seed,15000000,USD,15000000,Seed,18480344,USD,18480344,15000000,USD,15000000,Seed,18480344,USD,18480344,"Speedinvest, Fifth Wall, Atlantic Labs",3,"Real Estate, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://purpose-green.com/,https://www.linkedin.com/company/purposegreen/,,1-10
ARX Robotics,https://www.crunchbase.com/organization/arx-49c3,,,ARX is a defense technology company that specializes in the development of autonomous unmanned systems for dual-use applications.,,"Autonomous Vehicles, Drones, Manufacturing, Robotics","München, Bayern, Germany",ARX is a defense technology company that specializes in the development of autonomous unmanned systems for dual-use applications.,"9,721",2021-01-01,year,,Marc A Wietfeld,Private,"9,991",,2024-06-10,2,Seed,9000000,EUR,9675963,Seed,10150000,EUR,10904332,9000000,EUR,9675963,Seed,10150000,EUR,10904332,"Project A Ventures, NATO Innovation Fund, Discovery Ventures",3,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Science and Engineering, Software, Transportation",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.arx-robotics.com,https://www.linkedin.com/company/arx-landsysteme,info@arx-robotics.com,11-50
DeepJudge,https://www.crunchbase.com/organization/deepjudge,Growing,8092,DeepJudge was founded by four Machine Learning PhDs with over 20+ years of combined experience with Deep Learning and Natural Language Processing at scale. DeepJudge founders received several medals in Computer Science and Theoretical Physics for their outstanding research. DeepJudge founding team has multiple years of professional experience with large scale Machine Learning at leading US tech companies. DeepJudge is supported by distinguished advisors from academia and industry that have themselves built and run highly successful companies.,,"Artificial Intelligence (AI), Machine Learning, Software","Zürich, Zurich, Switzerland",DeepJudge is supported by distinguished advisors from academia and industry.,"9,791",2021-01-01,year,,"Florian Schmidt, Kevin Roth, Paulina Grnarova, Yannic Kilcher",Private,"10,053",,2024-06-19,3,Seed,9500000,CHF,10751301,Seed,11068972,USD,11068972,9500000,CHF,10751301,Seed,9500000,CHF,10751301,"Venture Kick, Coatue, InnoBooster, Gokul Rajaram, Michele Catasta",8,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://deepjudge.ai,https://www.linkedin.com/company/deepjudge,info@deepjudge.ai,11-50
Native Teams,https://www.crunchbase.com/organization/native-teams,Growing,E14 5AB,"Native Teams is an all-in-one platform offering global work payment solutions for freelancers, remote workers, and global employers. The platform combines comprehensive solutions to help individuals and businesses successfully manage multiple aspects of working remotely.  These include tools and features for managing global work payments and providing local employment status in 65+ countries.",,"FinTech, Information Services, Information Technology, Internet, Software","London, England, United Kingdom","Native Teams is an all-in-one platform offering global work payment solutions for freelancers, remote workers, and global employers.","9,818",2020-05-04,day,,"Aleksandra Mitrevska, Jack Thorogood",Private,"10,089",,2024-05-14,4,Seed,6275000,EUR,6785720,Seed,8375000,EUR,9005241,6275000,EUR,6785720,Seed,8375000,EUR,9005241,"Haatch, Fil Rouge Capital (FRC), Eleven Ventures, Begin Capital, Quake Capital Partners",7,"Financial Services, Information Technology, Internet Services, Software",,"Europe, Middle East, and Africa (EMEA)",https://nativeteams.com/,https://www.linkedin.com/company/nativeteamspeople,support@nteams.com,101-250
Infinitopes,https://www.crunchbase.com/organization/infinitopes,Growing,OX3 7FZ,"Infinitopes is a cancer research organization whose mission is to strengthen the immune system so that it can stop metastases and save lives. The company's platform creates healthcare systems and therapy designs to integrate high-efficiency vector delivery systems with optimal tumor target identification technologies in early-stage clinical trials, allowing patients to prevent cancer and tumors from taking their lives",,Biotechnology,"Oxford, Oxfordshire, United Kingdom",Infinitopes is developer of vaccines for the treatment of cancer.,"9,836",2021-01-01,year,,,Private,"10,099",,2024-04-30,1,Seed,12800000,GBP,15985813,Seed,12800000,GBP,15985813,12800000,GBP,15985813,Seed,12800000,GBP,15985813,"Octopus Ventures, Martlet Capital, Kindred Capital, Manta Ray Ventures, Meltwind Advisory",10,"Biotechnology, Science and Engineering",,"Europe, Middle East, and Africa (EMEA)",https://infinitopes.com,https://www.linkedin.com/company/infinitopes,,1-10
UP Catalyst,https://www.crunchbase.com/organization/up-catalyst,Growing,12618,UP Catalyst produces sustainable carbon nanomaterials and graphite for the green energy storage industry.,,Nanotechnology,"Tallinn, Harjumaa, Estonia",UP Catalyst produces sustainable carbon nanomaterials and graphite for the green energy storage industry.,"9,854",2019-01-01,year,,,Private,"10,117",,2024-08-21,4,Seed,2360000,EUR,2624304,Seed,8450000,EUR,9237146,2360000,EUR,2624304,Seed,6860000,EUR,7501819,"Extantia Capital, Sunly, Warsaw Equity Group, EIT RawMaterials, SmartCap",8,Science and Engineering,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://upcatalyst.com/,https://www.linkedin.com/company/upcatalyst/,info@upcatalyst.com,1-10
Ameba,https://www.crunchbase.com/organization/ameba-dc46,,,Ameba is a supply chain management platform uses AI to enable real-time data aggregation and automation.,,"Procurement, Supply Chain Management","London, England, United Kingdom",Ameba is a supply chain management platform uses AI to enable real-time data aggregation and automation.,"9,876",2023-01-01,year,,"Cedrik Hoffmann, Craig Massie",Private,"10,141",,2024-10-02,2,Seed,7100000,USD,7100000,Seed,8753919,USD,8753919,7100000,USD,7100000,Seed,8753919,USD,8753919,"Hedosophia, Anamcara Capital, Visionaries Club",3,Transportation,,"Europe, Middle East, and Africa (EMEA)",https://ameba.ai/,https://www.linkedin.com/company/amebasystems/?originalSubdomain=uk,,1-10
AMLYZE,https://www.crunchbase.com/organization/amlyze,Growing,08247,"AMLYZE is a RegTech company and Software-as-a-Service (SaaS) provider offering a suite of solutions to combat financial crime. Their comprehensive modules include real-time and retrospective transaction monitoring, customer risk assessment, AML/CFT investigations and sanctions, PEP and adverse media screening. The company has been working on its core product since 2019 and started offering it in autumn 2022. AMLYZE's greatest strength is our team of highly experienced anti-money laundering, financial fraud prevention and financial market supervision experts with backgrounds from the European Central Bank, the European Banking Authority, the Financial Intelligence Unit, the Bank of Lithuania and major financial corporations. With this regulatory experience, AMLYZE delivers cutting-edge technology solutions that streamline AML/CFT and compliance processes to unprecedented levels of efficiency.",,"Compliance, Financial Services, Fraud Detection, Risk Management, Software","Vilnius, Vilniaus Apskritis, Lithuania","AMLYZE provides a suite of solutions for banks, fintechs and crypto companies to combat financial crime.","9,895",2019-12-13,day,,"Alexandre Pinot, Gabrielius Erikas Bilkstys, Jekaterina Govina",Private,"10,160",,2024-10-02,2,Seed,2350000,EUR,2600832,Seed,3350000,EUR,3678342,2350000,EUR,2600832,Seed,3350000,EUR,3678342,"FIRSTPICK, Coinvest Capital, Practica Capital, Lithuanian Business Angel Network, Advanzia Bank",9,"Financial Services, Payments, Privacy and Security, Professional Services, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://amlyze.com/,https://www.linkedin.com/company/amlyze/,info@amlyze.com,11-50
Kestra Technologies,https://www.crunchbase.com/organization/kestra,,,"Kestra Technologies is an open-source orchestration and scheduling platform for mission-critical applications. The company's platform simplifies orchestration for both engineers and business users. Kestra Enterprise’s purpose-built features, such as remote execution, integration with third-party secrets manager, and high availability, currently power business-critical workflows and event-driven applications in production for some of the most innovative companies globally, reducing tool proliferation, fostering internal knowledge sharing, and ensuring future readiness.",,"Big Data, Data Integration, Open Source, Scheduling","Paris, Ile-de-France, France",Kestra Technologies is an open-source orchestration and scheduling platform for mission-critical applications.,"9,909",2021-06-06,day,,"Emmanuel Darras, Ludovic Dehon",Private,"10,176",,2024-09-23,2,Seed,8000000,USD,8000000,Seed,11000000,USD,11000000,8000000,USD,8000000,Seed,11000000,USD,11000000,"Alven, Axeleo Capital, Isai, Clément Delangue, Tristan Handy",18,"Data and Analytics, Information Technology, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://kestra.io/,https://www.linkedin.com/company/kestra/,hello@kestra.io,11-50
Quiet,https://www.crunchbase.com/organization/quiet-f2ef,,,"Quiet specializes in acquiring and revitalizing mobile games and applications. The company focuses on providing a second life to games and apps by enhancing their features, improving user engagement, and extending their market presence. Quiet's portfolio includes a variety of genres, aiming to cater to a broad audience of mobile users seeking entertainment. The team at Quiet leverages their expertise in game development, marketing, and user experience design to breathe new life into acquired properties, ensuring they meet the current standards and expectations of players.",,Mobile Apps,"Paris, Ile-de-France, France","Quiet revitalizes mobile games and apps, enhancing features and user engagement.","10,034",,,,Anouar Benattia,Private,"10,310",,2024-10-23,1,Seed,4500000,EUR,4861044,Seed,4500000,EUR,4861044,4500000,EUR,4861044,Seed,4500000,EUR,4861044,"Pareto Holdings, Varsity",2,"Apps, Mobile, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.quiet.app,https://www.linkedin.com/company/quietapp,,11-50
FreeBnk,https://www.crunchbase.com/organization/freebnk,,WC2H 9JQ,,,FinTech,"London, England, United Kingdom",Ethical Crypto Banking for Next Generation,"10,104",2022-04-01,day,,"Arash Lowni, Shaun Choudhary, Yunus Ozkaya",Private,"10,381",,2024-07-03,1,Seed,3000000,USD,3000000,Seed,3000000,USD,3000000,3000000,USD,3000000,Seed,3000000,USD,3000000,"Founderheads,, LVT Capital, Lavender Capital, ChaiTech Ventures",4,Financial Services,,"Europe, Middle East, and Africa (EMEA)",http://freebnk.io,https://www.linkedin.com/company/free-bnk/,,1-10
trawa,https://www.crunchbase.com/organization/trawa,Growing,,trawa offers software solutions and matching electricity procurement services for businesses. The offering enables energy-intensive companies to access renewable energy from solar- and wind parks and helps them decarbonize their operations while at the same time saving cost and protecting themselves against future energy crises.,,"Clean Energy, CleanTech, Renewable Energy, Software","Berlin, Berlin, Germany",Renewable Energy-as-a-Service,"10,118",2022-01-01,year,,"David Budde, Max Lüddemann, Robert Quick",Private,"10,386",,2024-05-15,3,Seed,10000000,EUR,10888348,Seed,12400000,EUR,13420058,10000000,EUR,10888348,Seed,12400000,EUR,13420058,"Speedinvest, Balderton Capital, Tiny VC, AENU, Magnetic Capital",14,"Energy, Software, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.trawa.de,https://www.linkedin.com/company/trawa-energy/,info@trawa.de,1-10
Wordsmith AI,https://www.crunchbase.com/organization/wordsmith,Growing,,Advanced legal AI for in house legal teams,,"Artificial Intelligence (AI), Information Technology, Legal Tech","Edinburgh, Edinburgh, City of, United Kingdom",Advanced legal AI for in house legal teams,"10,279",2024-01-01,day,,Ross McNairn,Private,"10,564",,2024-06-20,1,Seed,5000000,USD,5000000,Seed,5000000,USD,5000000,5000000,USD,5000000,Seed,5000000,USD,5000000,"General Catalyst, Index Ventures, Mandeep Singh, s16vc, Felix Capital",7,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.wordsmith.ai,,support@wordsmith.ai,11-50
iGent,https://www.crunchbase.com/organization/igent,,,iGent AI focus on integrating advanced AI capabilities into the software development process.,,"Software, Web Development","London, England, United Kingdom",iGent AI focus on integrating advanced AI capabilities into the software development process.,"10,343",2023-01-01,year,,"Martin Szummer, Sean Ward",Private,"10,615",,2024-10-31,1,Seed,6300000,GBP,8165085,Seed,6300000,GBP,8165085,6300000,GBP,8165085,Seed,6300000,GBP,8165085,"10x Founders, XTX Ventures, HV Capital, Dhyan VC, Twin Path Ventures",5,Software,,"Europe, Middle East, and Africa (EMEA)",https://igent.ai,https://www.linkedin.com/company/igent/,,1-10
VidLab7,https://www.crunchbase.com/organization/vidlab7,,,"VidLab7 is a platform focused on synthetic media, specifically tailored for revenue teams. The company offers customized video experiences powered by generative AI.",,"Artificial Intelligence (AI), Generative AI, Software","Munich, Bayern, Germany","VidLab7 is a platform focused on synthetic media, specifically tailored for revenue teams.","10,423",2023-01-01,year,,,Private,"10,710",,2024-09-17,1,Seed,3500000,EUR,3893942,Seed,3500000,EUR,3893942,3500000,EUR,3893942,Seed,3500000,EUR,3893942,EQT Ventures,1,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.vidlab7.com,https://www.linkedin.com/company/vidlab7,,1-10
Versori,https://www.crunchbase.com/organization/versori,Growing,M50 3YJ,"Versori is a technology group that develops and maintains software products for business and enterprise use. With a specialised focus on high dependency and highly available software, Versori products are built to provide its clients with the key infrastructure to run their operations.",,"Information Technology, Software","Manchester, Manchester, United Kingdom",Versori is a technology group that develops and maintains software products for business and enterprise use.,"10,457",2022-01-01,day,,"Daniel Jones, Sean Brown",Private,"10,735",,2024-04-09,4,Seed,5500000,USD,5500000,Seed,11533474,USD,11533474,5500000,USD,5500000,Seed,11533474,USD,11533474,"Y Combinator, Stage 2 Capital, Scalebridge Capital, Cindy Bi",4,"Information Technology, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.versori.com,https://www.linkedin.com/company/versori,hello@versori.co.uk,11-50
